"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","185","272","313","390","399","431","494","Epi_ref"
"pap","","Polyphosphate:AMP phosphotransferase","8","8","1","2","2428","","","","818","1424","1348","AJPKBNED_00344","JABOOPHC_00314","OAPGLPBN_00284","PLNEIAEP_02009","HCLGMOMD_01987","PNEBEOAF_00293","PILLALAE_02039","ECPKFHDG_00384"
"ldhD_2","","D-lactate dehydrogenase","8","8","1","2","2481","","","","575","992","939","AJPKBNED_00395","JABOOPHC_00364","OAPGLPBN_00335","PLNEIAEP_01960","HCLGMOMD_01935","PNEBEOAF_00343","PILLALAE_01988","ECPKFHDG_00434"
"catE","","Catechol-2,3-dioxygenase","8","8","1","2","2486","","","","797","797","797","AJPKBNED_00400","JABOOPHC_00368","OAPGLPBN_00339","PLNEIAEP_01955","HCLGMOMD_01931","PNEBEOAF_00347","PILLALAE_01983","ECPKFHDG_00438"
"znuA_2","","High-affinity zinc uptake system binding-protein ZnuA","8","8","1","2","2488","","","","575","947","761","AJPKBNED_00402","JABOOPHC_00370","OAPGLPBN_00341","PLNEIAEP_01953","HCLGMOMD_01929","PNEBEOAF_00349","PILLALAE_01981","ECPKFHDG_00440"
"group_151","","hypothetical protein","8","8","1","2","2502","","","","413","413","413","AJPKBNED_00416","JABOOPHC_00385","OAPGLPBN_00356","PLNEIAEP_01939","HCLGMOMD_01914","PNEBEOAF_00366","PILLALAE_01967","ECPKFHDG_00455"
"group_156","","putative oxidoreductase","8","8","1","2","2523","","","","692","692","692","AJPKBNED_00432","JABOOPHC_00403","OAPGLPBN_00372","PLNEIAEP_01923","HCLGMOMD_01898","PNEBEOAF_00383","PILLALAE_01951","ECPKFHDG_00471"
"group_157","","hypothetical protein","8","8","1","2","2528","","","","188","188","188","AJPKBNED_00437","JABOOPHC_00408","OAPGLPBN_00377","PLNEIAEP_01918","HCLGMOMD_01893","PNEBEOAF_00388","PILLALAE_01946","ECPKFHDG_00476"
"group_158","","hypothetical protein","8","8","1","2","2532","","","","782","782","782","AJPKBNED_00441","JABOOPHC_00412","OAPGLPBN_00381","PLNEIAEP_01914","HCLGMOMD_01889","PNEBEOAF_00392","PILLALAE_01942","ECPKFHDG_00480"
"group_159","","hypothetical protein","8","8","1","2","2631","","","","476","476","476","AJPKBNED_00532","JABOOPHC_00503","OAPGLPBN_00474","PLNEIAEP_01821","HCLGMOMD_01796","PNEBEOAF_00484","PILLALAE_01851","ECPKFHDG_00573"
"group_163","","hypothetical protein","8","8","1","2","2665","","","","530","530","530","AJPKBNED_00559","JABOOPHC_00529","OAPGLPBN_00501","PLNEIAEP_01796","HCLGMOMD_01770","PNEBEOAF_00508","PILLALAE_01824","ECPKFHDG_00600"
"group_164","","Phosphorylated carbohydrates phosphatase","8","8","1","2","2666","","","","635","635","635","AJPKBNED_00560","JABOOPHC_00530","OAPGLPBN_00502","PLNEIAEP_01795","HCLGMOMD_01769","PNEBEOAF_00509","PILLALAE_01823","ECPKFHDG_00601"
"group_165","","hypothetical protein","8","8","1","2","2671","","","","269","356","345","AJPKBNED_00563","JABOOPHC_00533","OAPGLPBN_00506","PLNEIAEP_01792","HCLGMOMD_01766","PNEBEOAF_00512","PILLALAE_01820","ECPKFHDG_00605"
"rhaS","","HTH-type transcriptional activator RhaS","8","8","1","2","2314","","","","1973","1973","1973","AJPKBNED_00587","JABOOPHC_00555","OAPGLPBN_00530","PLNEIAEP_01768","HCLGMOMD_01744","PNEBEOAF_00535","PILLALAE_01797","ECPKFHDG_00628"
"group_167","","hypothetical protein","8","8","1","2","2298","","","","755","755","755","AJPKBNED_00602","JABOOPHC_00570","OAPGLPBN_00545","PLNEIAEP_01753","HCLGMOMD_01729","PNEBEOAF_00550","PILLALAE_01782","ECPKFHDG_00643"
"cysA","","Sulfate/thiosulfate import ATP-binding protein CysA","8","8","1","2","2294","","","","608","620","618","AJPKBNED_00605","JABOOPHC_00574","OAPGLPBN_00549","PLNEIAEP_01749","HCLGMOMD_01725","PNEBEOAF_00554","PILLALAE_01779","ECPKFHDG_00647"
"group_169","","hypothetical protein","8","8","1","2","2279","","","","683","761","751","AJPKBNED_00620","JABOOPHC_00588","OAPGLPBN_00562","PLNEIAEP_01736","HCLGMOMD_01711","PNEBEOAF_00568","PILLALAE_01765","ECPKFHDG_00660"
"gdh","","Glucose 1-dehydrogenase","8","8","1","2","2272","","","","740","791","784","AJPKBNED_00626","JABOOPHC_00594","OAPGLPBN_00568","PLNEIAEP_01729","HCLGMOMD_01704","PNEBEOAF_00575","PILLALAE_01759","ECPKFHDG_00667"
"group_171","","hypothetical protein","8","8","1","2","2268","","","","398","398","398","AJPKBNED_00630","JABOOPHC_00598","OAPGLPBN_00572","PLNEIAEP_01725","HCLGMOMD_01700","PNEBEOAF_00579","PILLALAE_01755","ECPKFHDG_00671"
"lacE","","PTS system lactose-specific EIICB component","8","8","1","2","2225","","","","917","1748","1644","AJPKBNED_00672","JABOOPHC_00641","OAPGLPBN_00615","PLNEIAEP_01682","HCLGMOMD_01657","PNEBEOAF_00622","PILLALAE_01712","ECPKFHDG_00714"
"group_176","","hypothetical protein","8","8","1","2","2221","","","","1025","1025","1025","AJPKBNED_00675","JABOOPHC_00645","OAPGLPBN_00619","PLNEIAEP_01678","HCLGMOMD_01654","PNEBEOAF_00626","PILLALAE_01709","ECPKFHDG_00717"
"group_177","","hypothetical protein","8","8","1","2","2214","","","","1172","1181","1179","AJPKBNED_00682","JABOOPHC_00652","OAPGLPBN_00626","PLNEIAEP_01671","HCLGMOMD_01647","PNEBEOAF_00633","PILLALAE_01702","ECPKFHDG_00724"
"group_178","","hypothetical protein","8","8","1","2","2175","","","","1091","1190","1177","AJPKBNED_00729","JABOOPHC_00699","OAPGLPBN_00673","PLNEIAEP_01624","HCLGMOMD_01600","PNEBEOAF_00680","PILLALAE_01655","ECPKFHDG_00771"
"group_179","","hypothetical protein","8","8","1","2","2121","","","","509","518","510","AJPKBNED_00781","JABOOPHC_00751","OAPGLPBN_00726","PLNEIAEP_01572","HCLGMOMD_01547","PNEBEOAF_00732","PILLALAE_01603","ECPKFHDG_00823"
"leuA","","2-isopropylmalate synthase","8","8","1","2","911","","","","983","1535","1466","AJPKBNED_00802","JABOOPHC_00772","OAPGLPBN_00747","PLNEIAEP_01552","HCLGMOMD_01526","PNEBEOAF_00754","PILLALAE_01582","ECPKFHDG_00844"
"scrK","","Fructokinase","8","8","1","2","930","","","","959","959","959","AJPKBNED_00820","JABOOPHC_00790","OAPGLPBN_00765","PLNEIAEP_01534","HCLGMOMD_01508","PNEBEOAF_00772","PILLALAE_01564","ECPKFHDG_00862"
"group_1835","","hypothetical protein","8","8","1","2","674","","","","1076","1076","1076","AJPKBNED_01978","JABOOPHC_01848","OAPGLPBN_01815","PLNEIAEP_00415","HCLGMOMD_00430","PNEBEOAF_01893","PILLALAE_00401","ECPKFHDG_01918"
"group_1836","","DegV domain-containing protein","8","8","1","2","677","","","","866","866","866","AJPKBNED_01975","JABOOPHC_01845","OAPGLPBN_01812","PLNEIAEP_00418","HCLGMOMD_00433","PNEBEOAF_01890","PILLALAE_00404","ECPKFHDG_01915"
"group_1837","","hypothetical protein","8","8","1","2","1802","","","","317","317","317","AJPKBNED_01662","JABOOPHC_01625","OAPGLPBN_01597","PLNEIAEP_00695","HCLGMOMD_00674","PNEBEOAF_01609","PILLALAE_00700","ECPKFHDG_01701"
"mnhE1","","Na(+)/H(+) antiporter subunit E1","8","8","1","2","1912","","","","479","479","479","AJPKBNED_01842","JABOOPHC_01737","OAPGLPBN_01703","PLNEIAEP_00527","HCLGMOMD_00567","PNEBEOAF_01718","PILLALAE_00594","ECPKFHDG_01806"
"group_1839","","hypothetical protein","8","8","1","2","1829","","","","251","251","251","AJPKBNED_01687","JABOOPHC_01652","OAPGLPBN_01622","PLNEIAEP_00669","HCLGMOMD_00649","PNEBEOAF_01634","PILLALAE_00675","ECPKFHDG_01726"
"hisC_1","","Histidinol-phosphate aminotransferase","8","8","1","2","973","","","","1289","1289","1289","AJPKBNED_00831","JABOOPHC_00801","OAPGLPBN_00776","PLNEIAEP_01517","HCLGMOMD_01497","PNEBEOAF_00783","PILLALAE_01530","ECPKFHDG_00873"
"sigA","","RNA polymerase sigma factor SigA","8","8","1","2","1315","","","","1106","1106","1106","AJPKBNED_01194","JABOOPHC_01166","OAPGLPBN_01132","PLNEIAEP_01163","HCLGMOMD_01141","PNEBEOAF_01146","PILLALAE_01167","ECPKFHDG_01236"
"group_1841","","hypothetical protein","8","8","1","2","1302","","","","989","989","989","AJPKBNED_01182","JABOOPHC_01154","OAPGLPBN_01120","PLNEIAEP_01175","HCLGMOMD_01153","PNEBEOAF_01134","PILLALAE_01179","ECPKFHDG_01224"
"sarA","","Transcriptional regulator SarA","8","8","1","2","539","","","","374","374","374","AJPKBNED_02105","JABOOPHC_01979","OAPGLPBN_01941","PLNEIAEP_00287","HCLGMOMD_00302","PNEBEOAF_02021","PILLALAE_00274","ECPKFHDG_02044"
"qoxB","","putative quinol oxidase subunit 1","8","8","1","2","1804","","","","1988","1988","1988","AJPKBNED_01664","JABOOPHC_01627","OAPGLPBN_01599","PLNEIAEP_00693","HCLGMOMD_00672","PNEBEOAF_01611","PILLALAE_00698","ECPKFHDG_01703"
"group_1844","","putative protein.1","8","8","1","2","2896","","","","101","101","101","AJPKBNED_00274","JABOOPHC_00244","OAPGLPBN_00216","PLNEIAEP_02078","HCLGMOMD_02054","PNEBEOAF_00223","PILLALAE_02107","ECPKFHDG_00317"
"betA","","Oxygen-dependent choline dehydrogenase","8","8","1","2","2390","","","","1718","1718","1718","AJPKBNED_00308","JABOOPHC_00279","OAPGLPBN_00250","PLNEIAEP_02044","HCLGMOMD_02021","PNEBEOAF_00258","PILLALAE_02073","ECPKFHDG_00350"
"mnhG1","","Na(+)/H(+) antiporter subunit G1","8","8","1","2","1914","","","","356","356","356","AJPKBNED_01844","JABOOPHC_01739","OAPGLPBN_01705","PLNEIAEP_00525","HCLGMOMD_00565","PNEBEOAF_01720","PILLALAE_00592","ECPKFHDG_01808"
"betL","","Glycine betaine transporter BetL","8","8","1","2","2386","","","","1622","1622","1622","AJPKBNED_00305","JABOOPHC_00274","OAPGLPBN_00247","PLNEIAEP_02047","HCLGMOMD_02024","PNEBEOAF_00253","PILLALAE_02076","ECPKFHDG_00347"
"atpE","","ATP synthase subunit c","8","8","1","2","2150","","","","212","212","212","AJPKBNED_00752","JABOOPHC_00722","OAPGLPBN_00697","PLNEIAEP_01601","HCLGMOMD_01576","PNEBEOAF_00703","PILLALAE_01632","ECPKFHDG_00794"
"cidB","","Holin-like protein CidB","8","8","1","2","2451","","","","689","689","689","AJPKBNED_00368","JABOOPHC_00337","OAPGLPBN_00307","PLNEIAEP_01986","HCLGMOMD_01963","PNEBEOAF_00316","PILLALAE_02015","ECPKFHDG_00407"
"msrC","","Free methionine-R-sulfoxide reductase","8","8","1","2","1168","","","","470","494","473","AJPKBNED_01051","JABOOPHC_01024","OAPGLPBN_00990","PLNEIAEP_01306","HCLGMOMD_01283","PNEBEOAF_01004","PILLALAE_01310","ECPKFHDG_01094"
"group_1850","","hypothetical protein","8","8","1","2","2448","","","","215","215","215","AJPKBNED_00365","JABOOPHC_00334","OAPGLPBN_00304","PLNEIAEP_01989","HCLGMOMD_01966","PNEBEOAF_00313","PILLALAE_02018","ECPKFHDG_00404"
"group_1851","","hypothetical protein","8","8","1","2","2184","","","","410","410","410","AJPKBNED_00720","JABOOPHC_00690","OAPGLPBN_00664","PLNEIAEP_01633","HCLGMOMD_01609","PNEBEOAF_00671","PILLALAE_01664","ECPKFHDG_00762"
"group_1852","","hypothetical protein","8","8","1","2","1744","","","","461","461","461","AJPKBNED_01604","JABOOPHC_01567","OAPGLPBN_01539","PLNEIAEP_00752","HCLGMOMD_00732","PNEBEOAF_01551","PILLALAE_00758","ECPKFHDG_01643"
"group_1853","","hypothetical protein","8","8","1","2","3151","","","","155","155","155","AJPKBNED_00230","JABOOPHC_00193","OAPGLPBN_00183","PLNEIAEP_02108","HCLGMOMD_02084","PNEBEOAF_00193","PILLALAE_02150","ECPKFHDG_00287"
"gdnC","","putative guanidinium efflux system subunit GdnC","8","8","1","2","2321","","","","326","326","326","AJPKBNED_00581","JABOOPHC_00549","OAPGLPBN_00524","PLNEIAEP_01774","HCLGMOMD_01750","PNEBEOAF_00529","PILLALAE_01803","ECPKFHDG_00622"
"ptsH","","Phosphocarrier protein HPr","8","8","1","2","1781","","","","266","266","266","AJPKBNED_01641","JABOOPHC_01604","OAPGLPBN_01576","PLNEIAEP_00716","HCLGMOMD_00695","PNEBEOAF_01588","PILLALAE_00721","ECPKFHDG_01680"
"tpiA","","Triosephosphate isomerase","8","8","1","2","704","","","","761","761","761","AJPKBNED_01947","JABOOPHC_01817","OAPGLPBN_01784","PLNEIAEP_00446","HCLGMOMD_00461","PNEBEOAF_01860","PILLALAE_00432","ECPKFHDG_01887"
"purN","","Phosphoribosylglycinamide formyltransferase","8","8","1","2","1792","","","","566","566","566","AJPKBNED_01652","JABOOPHC_01615","OAPGLPBN_01587","PLNEIAEP_00705","HCLGMOMD_00684","PNEBEOAF_01599","PILLALAE_00710","ECPKFHDG_01691"
"def","","Peptide deformylase","8","8","1","2","1773","","","","551","551","551","AJPKBNED_01633","JABOOPHC_01596","OAPGLPBN_01568","PLNEIAEP_00724","HCLGMOMD_00703","PNEBEOAF_01580","PILLALAE_00729","ECPKFHDG_01672"
"group_1859","","hypothetical protein","8","8","1","2","1262","","","","308","308","308","AJPKBNED_01144","JABOOPHC_01116","OAPGLPBN_01082","PLNEIAEP_01215","HCLGMOMD_01191","PNEBEOAF_01096","PILLALAE_01217","ECPKFHDG_01186"
"rnhA","","14.7 kDa ribonuclease H-like protein","8","8","1","2","1431","","","","392","395","394","AJPKBNED_01308","JABOOPHC_01279","OAPGLPBN_01245","PLNEIAEP_01050","HCLGMOMD_01028","PNEBEOAF_01261","PILLALAE_01053","ECPKFHDG_01349"
"ureA","","Urease subunit gamma","8","8","1","2","2303","","","","302","302","302","AJPKBNED_00597","JABOOPHC_00565","OAPGLPBN_00540","PLNEIAEP_01758","HCLGMOMD_01734","PNEBEOAF_00545","PILLALAE_01787","ECPKFHDG_00638"
"ppdK","","Pyruvate, phosphate dikinase","8","8","1","2","2395","","","","2627","2627","2627","AJPKBNED_00313","JABOOPHC_00284","OAPGLPBN_00255","PLNEIAEP_02039","HCLGMOMD_02016","PNEBEOAF_00263","PILLALAE_02068","ECPKFHDG_00355"
"ktrB_1","","Ktr system potassium uptake protein B","8","8","1","2","1836","","","","1358","1358","1358","AJPKBNED_01770","JABOOPHC_01661","OAPGLPBN_01631","PLNEIAEP_00601","HCLGMOMD_00640","PNEBEOAF_01643","PILLALAE_00665","ECPKFHDG_01735"
"sdhB","","L-serine dehydratase, beta chain","8","8","1","2","2473","","","","683","683","683","AJPKBNED_00389","JABOOPHC_00358","OAPGLPBN_00328","PLNEIAEP_01966","HCLGMOMD_01942","PNEBEOAF_00337","PILLALAE_01994","ECPKFHDG_00428"
"group_1864","","hypothetical protein","8","8","1","2","1955","","","","296","296","296","AJPKBNED_01882","JABOOPHC_01777","OAPGLPBN_01744","PLNEIAEP_00486","HCLGMOMD_00527","PNEBEOAF_01820","PILLALAE_00493","ECPKFHDG_01847"
"infC","","Translation initiation factor IF-3","8","8","1","2","1206","","","","527","527","527","AJPKBNED_01088","JABOOPHC_01061","OAPGLPBN_01027","PLNEIAEP_01270","HCLGMOMD_01246","PNEBEOAF_01041","PILLALAE_01273","ECPKFHDG_01131"
"group_1866","","hypothetical protein","8","8","1","2","611","","","","464","464","464","AJPKBNED_02033","JABOOPHC_01907","OAPGLPBN_01869","PLNEIAEP_00359","HCLGMOMD_00374","PNEBEOAF_01949","PILLALAE_00347","ECPKFHDG_01972"
"group_1867","","hypothetical protein","8","8","1","2","592","","","","422","422","422","AJPKBNED_02052","JABOOPHC_01926","OAPGLPBN_01888","PLNEIAEP_00340","HCLGMOMD_00355","PNEBEOAF_01968","PILLALAE_00328","ECPKFHDG_01991"
"yciC_1","","Putative metal chaperone YciC","8","8","1","2","603","","","","926","926","926","AJPKBNED_02041","JABOOPHC_01915","OAPGLPBN_01877","PLNEIAEP_00351","HCLGMOMD_00366","PNEBEOAF_01957","PILLALAE_00339","ECPKFHDG_01980"
"cspA_2","","Cold shock protein CspA","8","8","1","2","1975","","","","200","200","200","AJPKBNED_01902","JABOOPHC_01797","OAPGLPBN_01764","PLNEIAEP_00466","HCLGMOMD_00507","PNEBEOAF_01840","PILLALAE_00473","ECPKFHDG_01867"
"ytrE","","ABC transporter ATP-binding protein YtrE","8","8","1","2","1436","","","","443","662","634","AJPKBNED_01313","JABOOPHC_01284","OAPGLPBN_01250","PLNEIAEP_01045","HCLGMOMD_01023","PNEBEOAF_01266","PILLALAE_01048","ECPKFHDG_01354"
"pspB","","Putative phosphoserine phosphatase 2","8","8","1","2","1965","","","","587","587","587","AJPKBNED_01892","JABOOPHC_01787","OAPGLPBN_01754","PLNEIAEP_00476","HCLGMOMD_00517","PNEBEOAF_01830","PILLALAE_00483","ECPKFHDG_01857"
"secE","","Protein translocase subunit SecE","8","8","1","2","443","","","","182","182","182","AJPKBNED_02196","JABOOPHC_02142","OAPGLPBN_02029","PLNEIAEP_00198","HCLGMOMD_00208","PNEBEOAF_02114","PILLALAE_00183","ECPKFHDG_02132"
"group_1872","","putative transcriptional regulatory protein","8","8","1","2","582","","","","716","716","716","AJPKBNED_02062","JABOOPHC_01936","OAPGLPBN_01898","PLNEIAEP_00330","HCLGMOMD_00345","PNEBEOAF_01978","PILLALAE_00317","ECPKFHDG_02001"
"queF","","NADPH-dependent 7-cyano-7-deazaguanine reductase","8","8","1","2","651","","","","500","500","500","AJPKBNED_01997","JABOOPHC_01869","OAPGLPBN_01834","PLNEIAEP_00395","HCLGMOMD_00410","PNEBEOAF_01914","PILLALAE_00382","ECPKFHDG_01937"
"mrpD","","Na(+)/H(+) antiporter subunit D","8","8","1","2","547","","","","1499","1499","1499","AJPKBNED_02097","JABOOPHC_01971","OAPGLPBN_01933","PLNEIAEP_00295","HCLGMOMD_00310","PNEBEOAF_02013","PILLALAE_00282","ECPKFHDG_02036"
"group_1875","","hypothetical protein","8","8","1","2","1983","","","","170","170","170","AJPKBNED_01910","JABOOPHC_01805","OAPGLPBN_01772","PLNEIAEP_00458","HCLGMOMD_00499","PNEBEOAF_01848","PILLALAE_00465","ECPKFHDG_01875"
"dapH_2","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","8","8","1","2","690","","","","536","536","536","AJPKBNED_01962","JABOOPHC_01832","OAPGLPBN_01799","PLNEIAEP_00431","HCLGMOMD_00446","PNEBEOAF_01877","PILLALAE_00417","ECPKFHDG_01902"
"group_1877","","hypothetical protein","8","8","1","2","1949","","","","860","860","860","AJPKBNED_01876","JABOOPHC_01771","OAPGLPBN_01738","PLNEIAEP_00492","HCLGMOMD_00533","PNEBEOAF_01814","PILLALAE_00499","ECPKFHDG_01841"
"rpsL","","30S ribosomal protein S12","8","8","1","2","453","","","","413","413","413","AJPKBNED_02186","JABOOPHC_02132","OAPGLPBN_02019","PLNEIAEP_00208","HCLGMOMD_00218","PNEBEOAF_02104","PILLALAE_00193","ECPKFHDG_02122"
"group_1879","","hypothetical protein","8","8","1","2","663","","","","314","314","314","AJPKBNED_01987","JABOOPHC_01859","OAPGLPBN_01824","PLNEIAEP_00406","HCLGMOMD_00421","PNEBEOAF_01904","PILLALAE_00392","ECPKFHDG_01927"
"group_1880","","hypothetical protein","8","8","1","2","1346","","","","218","218","218","AJPKBNED_01224","JABOOPHC_01196","OAPGLPBN_01162","PLNEIAEP_01134","HCLGMOMD_01111","PNEBEOAF_01176","PILLALAE_01137","ECPKFHDG_01266"
"hprK","","HPr kinase/phosphorylase","8","8","1","2","688","","","","932","932","932","AJPKBNED_01964","JABOOPHC_01834","OAPGLPBN_01801","PLNEIAEP_00429","HCLGMOMD_00444","PNEBEOAF_01879","PILLALAE_00415","ECPKFHDG_01904"
"aldC","","Alpha-acetolactate decarboxylase","8","8","1","2","2412","","","","704","704","704","AJPKBNED_00330","JABOOPHC_00299","OAPGLPBN_00270","PLNEIAEP_02024","HCLGMOMD_02001","PNEBEOAF_00279","PILLALAE_02053","ECPKFHDG_00370"
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","8","8","1","2","1653","","","","734","734","734","AJPKBNED_01515","JABOOPHC_01479","OAPGLPBN_01451","PLNEIAEP_00839","HCLGMOMD_00820","PNEBEOAF_01463","PILLALAE_00846","ECPKFHDG_01555"
"rplW","","50S ribosomal protein L23","8","8","1","2","2264","","","","275","275","275","AJPKBNED_00634","JABOOPHC_00602","OAPGLPBN_00576","PLNEIAEP_01721","HCLGMOMD_01696","PNEBEOAF_00583","PILLALAE_01751","ECPKFHDG_00675"
"lacF","","PTS system lactose-specific EIIA component","8","8","1","2","2226","","","","314","314","314","AJPKBNED_00671","JABOOPHC_00640","OAPGLPBN_00614","PLNEIAEP_01683","HCLGMOMD_01658","PNEBEOAF_00621","PILLALAE_01713","ECPKFHDG_00713"
"smpB","","SsrA-binding protein","8","8","1","2","711","","","","470","470","470","AJPKBNED_01940","JABOOPHC_01810","OAPGLPBN_01777","PLNEIAEP_00453","HCLGMOMD_00468","PNEBEOAF_01853","PILLALAE_00439","ECPKFHDG_01880"
"group_1887","","hypothetical protein","8","8","1","2","1767","","","","278","278","278","AJPKBNED_01627","JABOOPHC_01590","OAPGLPBN_01562","PLNEIAEP_00730","HCLGMOMD_00709","PNEBEOAF_01574","PILLALAE_00735","ECPKFHDG_01666"
"group_1888","","hypothetical protein","8","8","1","2","623","","","","437","437","437","AJPKBNED_02021","JABOOPHC_01895","OAPGLPBN_01857","PLNEIAEP_00371","HCLGMOMD_00386","PNEBEOAF_01937","PILLALAE_00359","ECPKFHDG_01960"
"group_1889","","hypothetical protein","8","8","1","2","604","","","","293","293","293","AJPKBNED_02040","JABOOPHC_01914","OAPGLPBN_01876","PLNEIAEP_00352","HCLGMOMD_00367","PNEBEOAF_01956","PILLALAE_00340","ECPKFHDG_01979"
"msrA2","","Peptide methionine sulfoxide reductase MsrA 2","8","8","1","2","1441","","","","524","527","525","AJPKBNED_01317","JABOOPHC_01288","OAPGLPBN_01254","PLNEIAEP_01040","HCLGMOMD_01019","PNEBEOAF_01270","PILLALAE_01044","ECPKFHDG_01358"
"group_1890","","hypothetical protein","8","8","1","2","1043","","","","161","161","161","AJPKBNED_00896","JABOOPHC_00868","OAPGLPBN_00833","PLNEIAEP_01459","HCLGMOMD_01440","PNEBEOAF_00849","PILLALAE_01465","ECPKFHDG_00939"
"vraR_2","","Response regulator protein VraR","8","8","1","2","1074","","","","623","623","623","AJPKBNED_00956","JABOOPHC_00927","OAPGLPBN_00892","PLNEIAEP_01401","HCLGMOMD_01381","PNEBEOAF_00908","PILLALAE_01405","ECPKFHDG_00998"
"group_1892","","hypothetical protein","8","8","1","2","1837","","","","1757","1757","1757","AJPKBNED_01771","JABOOPHC_01662","OAPGLPBN_01632","PLNEIAEP_00600","HCLGMOMD_00639","PNEBEOAF_01644","PILLALAE_00664","ECPKFHDG_01736"
"group_1893","","hypothetical protein","8","8","1","2","1862","","","","347","347","347","AJPKBNED_01795","JABOOPHC_01686","OAPGLPBN_01656","PLNEIAEP_00577","HCLGMOMD_00615","PNEBEOAF_01668","PILLALAE_00640","ECPKFHDG_01760"
"luxS","","S-ribosylhomocysteine lyase","8","8","1","2","2177","","","","470","470","470","AJPKBNED_00727","JABOOPHC_00697","OAPGLPBN_00671","PLNEIAEP_01626","HCLGMOMD_01602","PNEBEOAF_00678","PILLALAE_01657","ECPKFHDG_00769"
"group_1895","","putative tautomerase","8","8","1","2","1514","","","","185","185","185","AJPKBNED_01384","JABOOPHC_01348","OAPGLPBN_01321","PLNEIAEP_00969","HCLGMOMD_00952","PNEBEOAF_01332","PILLALAE_00976","ECPKFHDG_01425"
"group_1896","","hypothetical protein","8","8","1","2","2427","","","","1058","1058","1058","AJPKBNED_00343","JABOOPHC_00312","OAPGLPBN_00283","PLNEIAEP_02010","HCLGMOMD_01988","PNEBEOAF_00292","PILLALAE_02040","ECPKFHDG_00383"
"group_1897","","hypothetical protein","8","8","1","2","1077","","","","344","344","344","AJPKBNED_00959","JABOOPHC_00930","OAPGLPBN_00895","PLNEIAEP_01398","HCLGMOMD_01378","PNEBEOAF_00911","PILLALAE_01402","ECPKFHDG_01001"
