"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","313","Epi_ref"
"group_1014","","Lipoate--protein ligase 1","2","2","1","2","1934","","","","986","986","986","OAPGLPBN_01627","ECPKFHDG_01731"
"mccA","","O-acetylserine dependent cystathionine beta-synthase","2","2","1","2","1458","","","","908","908","908","OAPGLPBN_02126","ECPKFHDG_02228"
"ltaS","","Lipoteichoic acid synthase","2","2","1","2","1718","","","","1940","1940","1940","OAPGLPBN_01845","ECPKFHDG_01948"
"argC","","N-acetyl-gamma-glutamyl-phosphate reductase","2","2","1","2","1237","","","","1025","1025","1025","OAPGLPBN_01166","ECPKFHDG_01270"
"group_1018","","hypothetical protein","2","2","1","2","928","","","","536","536","536","OAPGLPBN_00819","ECPKFHDG_00925"
"group_1019","","hypothetical protein","2","2","1","2","441","","","","1043","1043","1043","OAPGLPBN_00327","ECPKFHDG_00427"
"dgk","","Deoxyguanosine kinase","2","2","1","2","1562","","","","662","662","662","OAPGLPBN_02001","ECPKFHDG_02104"
"polC","","DNA polymerase III PolC-type","2","2","1","2","2139","","","","4316","4316","4316","OAPGLPBN_01419","ECPKFHDG_01523"
"metP_1","","Methionine import system permease protein MetP","2","2","1","2","1819","","","","695","695","695","OAPGLPBN_01742","ECPKFHDG_01845"
"treP","","PTS system trehalose-specific EIIBC component","2","2","1","2","559","","","","1445","1445","1445","OAPGLPBN_00445","ECPKFHDG_00544"
"group_1024","","hypothetical protein","2","2","1","2","523","","","","1472","1472","1472","OAPGLPBN_00409","ECPKFHDG_00508"
"group_1025","","putative sensor-like histidine kinase","2","2","1","2","174","","","","1538","1538","1538","OAPGLPBN_00057","ECPKFHDG_00163"
"group_1026","","hypothetical protein","2","2","1","2","1788","","","","542","542","542","OAPGLPBN_01773","ECPKFHDG_01876"
"opuD","","Glycine betaine transporter OpuD","2","2","1","2","2224","","","","1640","1640","1640","OAPGLPBN_01334","ECPKFHDG_01438"
"hpf","","Ribosome hibernation promotion factor","2","2","1","2","1754","","","","569","569","569","OAPGLPBN_01809","ECPKFHDG_01912"
"group_1029","","hypothetical protein","2","2","1","2","747","","","","260","260","260","OAPGLPBN_00634","ECPKFHDG_00732"
"purR","","Pur operon repressor","2","2","1","2","1494","","","","824","824","824","OAPGLPBN_02085","ECPKFHDG_02188"
"rlmN","","putative dual-specificity RNA methyltransferase RlmN","2","2","1","2","2094","","","","1094","1094","1094","OAPGLPBN_01464","ECPKFHDG_01568"
"nadD","","putative nicotinate-nucleotide adenylyltransferase","2","2","1","2","1171","","","","575","575","575","OAPGLPBN_01100","ECPKFHDG_01204"
"trmR","","tRNA 5-hydroxyuridine methyltransferase","2","2","1","2","1154","","","","635","635","635","OAPGLPBN_01083","ECPKFHDG_01187"
"yeeO","","putative FMN/FAD exporter YeeO","2","2","1","2","1338","","","","1325","1325","1325","OAPGLPBN_01267","ECPKFHDG_01371"
"arsB_3","","Arsenical pump membrane protein","2","2","1","2","1568","","","","491","491","491","OAPGLPBN_01995","ECPKFHDG_02098"
"nos","","Nitric oxide synthase oxygenase","2","2","1","2","905","","","","1067","1067","1067","OAPGLPBN_00796","ECPKFHDG_00902"
"yetJ","","putative protein YetJ","2","2","1","2","1662","","","","659","659","659","OAPGLPBN_01901","ECPKFHDG_02004"
"cntE_1","","Staphylopine export protein","2","2","1","2","209","","","","1190","1190","1190","OAPGLPBN_00092","ECPKFHDG_00198"
"group_1039","","hypothetical protein","2","2","1","2","413","","","","464","464","464","OAPGLPBN_00299","ECPKFHDG_00399"
"ilvA","","L-threonine dehydratase biosynthetic IlvA","2","2","1","2","842","","","","1274","1274","1274","OAPGLPBN_00743","ECPKFHDG_00840"
"nikD","","Nickel import system ATP-binding protein NikD","2","2","1","2","2252","","","","776","776","776","OAPGLPBN_01306","ECPKFHDG_01410"
"polX","","DNA polymerase/3'-5' exonuclease PolX","2","2","1","2","2038","","","","1709","1709","1709","OAPGLPBN_01521","ECPKFHDG_01625"
"rplM","","50S ribosomal protein L13","2","2","1","2","720","","","","437","437","437","OAPGLPBN_00606","ECPKFHDG_00705"
"phoB","","Alkaline phosphatase 3","2","2","1","2","334","","","","1469","1469","1469","OAPGLPBN_00220","ECPKFHDG_00320"
"mdtH","","Multidrug resistance protein MdtH","2","2","1","2","1025","","","","1214","1214","1214","OAPGLPBN_00954","ECPKFHDG_01059"
"group_1046","","hypothetical protein","2","2","1","2","1794","","","","194","194","194","OAPGLPBN_01767","ECPKFHDG_01870"
"btuD_8","","Vitamin B12 import ATP-binding protein BtuD","2","2","1","2","1404","","","","842","842","842","OAPGLPBN_02180","ECPKFHDG_02282"
"group_1048","","putative autolysin LDP","2","2","1","2","1757","","","","800","800","800","OAPGLPBN_01806","ECPKFHDG_01909"
"group_1049","","hypothetical protein","2","2","1","2","1162","","","","440","440","440","OAPGLPBN_01091","ECPKFHDG_01195"
"mntA","","Manganese-binding lipoprotein MntA","2","2","1","2","1635","","","","929","929","929","OAPGLPBN_01928","ECPKFHDG_02031"
"bcr_1","","Bicyclomycin resistance protein","2","2","1","2","520","","","","1199","1199","1199","OAPGLPBN_00406","ECPKFHDG_00505"
"hit","","Protein hit","2","2","1","2","981","","","","425","425","425","OAPGLPBN_00902","ECPKFHDG_01008"
"nrnA","","Bifunctional oligoribonuclease and PAP phosphatase NrnA","2","2","1","2","1076","","","","938","938","938","OAPGLPBN_01005","ECPKFHDG_01109"
"dnaJ","","Chaperone protein DnaJ","2","2","1","2","1185","","","","1121","1121","1121","OAPGLPBN_01114","ECPKFHDG_01218"
"group_1055","","hypothetical protein","2","2","1","2","1985","","","","236","236","236","OAPGLPBN_01574","ECPKFHDG_01678"
"group_1056","","hypothetical protein","2","2","1","2","1344","","","","173","173","173","OAPGLPBN_01273","ECPKFHDG_01377"
"queF","","NADPH-dependent 7-cyano-7-deazaguanine reductase","2","2","1","2","1729","","","","500","500","500","OAPGLPBN_01834","ECPKFHDG_01937"
"trpS","","Tryptophan--tRNA ligase","2","2","1","2","1897","","","","989","989","989","OAPGLPBN_01664","ECPKFHDG_01768"
"group_1059","","N-acetylmuramoyl-L-alanine amidase domain-containing protein","2","2","1","2","304","","","","1967","1967","1967","OAPGLPBN_00187","ECPKFHDG_00291"
"rodA","","Peptidoglycan glycosyltransferase RodA","2","2","1","2","824","","","","1211","1211","1211","OAPGLPBN_00720","ECPKFHDG_00817"
"nreB","","Oxygen sensor histidine kinase NreB","2","2","1","2","548","","","","1034","1034","1034","OAPGLPBN_00434","ECPKFHDG_00533"
"group_1062","","hypothetical protein","2","2","1","2","357","","","","305","305","305","OAPGLPBN_00243","ECPKFHDG_00343"
"bioY","","Biotin transporter BioY","2","2","1","2","657","","","","548","548","548","OAPGLPBN_00544","ECPKFHDG_00642"
"ahpF","","Alkyl hydroperoxide reductase subunit F","2","2","1","2","1429","","","","1523","1523","1523","OAPGLPBN_02155","ECPKFHDG_02257"
"gntT","","High-affinity gluconate transporter","2","2","1","2","478","","","","1358","1358","1358","OAPGLPBN_00364","ECPKFHDG_00463"
"lacR","","Lactose phosphotransferase system repressor","2","2","1","2","723","","","","755","755","755","OAPGLPBN_00609","ECPKFHDG_00708"
"cysI","","Sulfite reductase [NADPH] hemoprotein beta-component","2","2","1","2","351","","","","1718","1718","1718","OAPGLPBN_00237","ECPKFHDG_00337"
"group_1068","","hypothetical protein","2","2","1","2","908","","","","626","626","626","OAPGLPBN_00799","ECPKFHDG_00905"
"arcB_3","","Delta(1)-pyrroline-2-carboxylate reductase","2","2","1","2","1551","","","","416","416","416","OAPGLPBN_02012","ECPKFHDG_02115"
"group_1070","","hypothetical protein","2","2","1","2","1224","","","","293","293","293","OAPGLPBN_01153","ECPKFHDG_01257"
"group_1071","","hypothetical protein","2","2","1","2","410","","","","227","227","227","OAPGLPBN_00296","ECPKFHDG_00396"
"yidK","","putative symporter YidK","2","2","1","2","341","","","","1592","1592","1592","OAPGLPBN_00227","ECPKFHDG_00327"
"rpmB","","50S ribosomal protein L28","2","2","1","2","2100","","","","188","188","188","OAPGLPBN_01458","ECPKFHDG_01562"
"yhdG_2","","putative amino acid permease YhdG","2","2","1","2","1587","","","","1490","1490","1490","OAPGLPBN_01976","ECPKFHDG_02079"
"gmk","","Guanylate kinase","2","2","1","2","2086","","","","623","623","623","OAPGLPBN_01472","ECPKFHDG_01576"
"rpsH","","30S ribosomal protein S8","2","2","1","2","702","","","","398","398","398","OAPGLPBN_00588","ECPKFHDG_00687"
"mazF","","Endoribonuclease MazF","2","2","1","2","834","","","","362","362","362","OAPGLPBN_00730","ECPKFHDG_00827"
"nikA","","Nickel-binding protein NikA","2","2","1","2","538","","","","1475","1475","1475","OAPGLPBN_00424","ECPKFHDG_00523"
"nudF","","ADP-ribose pyrophosphatase","2","2","1","2","1265","","","","542","542","542","OAPGLPBN_01194","ECPKFHDG_01298"
"group_1080","","hypothetical protein","2","2","1","2","2187","","","","194","194","194","OAPGLPBN_01371","ECPKFHDG_01475"
"cntL","","D-histidine 2-aminobutanoyltransferase","2","2","1","2","202","","","","815","815","815","OAPGLPBN_00085","ECPKFHDG_00191"
"moaD","","Molybdopterin synthase sulfur carrier subunit","2","2","1","2","669","","","","233","233","233","OAPGLPBN_00556","ECPKFHDG_00654"
"group_1083","","hypothetical protein","2","2","1","2","1739","","","","314","314","314","OAPGLPBN_01824","ECPKFHDG_01927"
"luxS","","S-ribosylhomocysteine lyase","2","2","1","2","775","","","","470","470","470","OAPGLPBN_00671","ECPKFHDG_00769"
"group_1085","","hypothetical protein","2","2","1","2","1581","","","","179","179","179","OAPGLPBN_01982","ECPKFHDG_02085"
"group_1086","","hypothetical protein","2","2","1","2","2072","","","","362","362","362","OAPGLPBN_01486","ECPKFHDG_01590"
"pyk","","Pyruvate kinase","2","2","1","2","1082","","","","1757","1757","1757","OAPGLPBN_01011","ECPKFHDG_01115"
"nagB_1","","Glucosamine-6-phosphate deaminase","2","2","1","2","965","","","","599","599","599","OAPGLPBN_00886","ECPKFHDG_00992"
"murG","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","2","2","1","2","1331","","","","1073","1073","1073","OAPGLPBN_01260","ECPKFHDG_01364"
"group_1090","","hypothetical protein","2","2","1","2","1872","","","","1049","1049","1049","OAPGLPBN_01689","ECPKFHDG_01793"
"znuA_2","","High-affinity zinc uptake system binding-protein ZnuA","2","2","1","2","455","","","","575","575","575","OAPGLPBN_00341","ECPKFHDG_00440"
"group_1092","","putative HTH-type transcriptional regulator","2","2","1","2","674","","","","440","440","440","OAPGLPBN_00561","ECPKFHDG_00659"
"yqeN","","putative protein YqeN","2","2","1","2","1178","","","","974","974","974","OAPGLPBN_01107","ECPKFHDG_01211"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ","2","2","1","2","503","","","","1052","1052","1052","OAPGLPBN_00389","ECPKFHDG_00488"
"group_1095","","hypothetical protein","2","2","1","2","1920","","","","1085","1085","1085","OAPGLPBN_01641","ECPKFHDG_01745"
"group_1096","","hypothetical protein","2","2","1","2","645","","","","323","323","323","OAPGLPBN_00532","ECPKFHDG_00630"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","2","2","1","2","1487","","","","839","839","839","OAPGLPBN_02092","ECPKFHDG_02195"
"group_1098","","putative protein.1","2","2","1","2","330","","","","101","101","101","OAPGLPBN_00216","ECPKFHDG_00317"
"mqo2_1","","putative malate:quinone oxidoreductase 2","2","2","1","2","167","","","","1484","1484","1484","OAPGLPBN_00050","ECPKFHDG_00156"
"group_11","","hypothetical protein","2","2","1","2","1029","","","","7595","11078","9336","OAPGLPBN_00957","ECPKFHDG_01062"
"ribBA","","Riboflavin biosynthesis protein RibBA","2","2","1","2","1017","","","","1181","1181","1181","OAPGLPBN_00946","ECPKFHDG_01052"
"rnmV_1","","Ribonuclease M5","2","2","1","2","1816","","","","386","386","386","OAPGLPBN_01745","ECPKFHDG_01848"
"ydaG","","General stress protein 26","2","2","1","2","556","","","","422","422","422","OAPGLPBN_00442","ECPKFHDG_00541"
"group_1103","","hypothetical protein","2","2","1","2","823","","","","137","137","137","OAPGLPBN_00719","ECPKFHDG_00816"
"sarV","","HTH-type transcriptional regulator SarV","2","2","1","2","672","","","","350","350","350","OAPGLPBN_00559","ECPKFHDG_00657"
"mutY","","Adenine DNA glycosylase","2","2","1","2","950","","","","1043","1043","1043","OAPGLPBN_00841","ECPKFHDG_00947"
"fumC","","Fumarate hydratase class II","2","2","1","2","968","","","","1385","1385","1385","OAPGLPBN_00889","ECPKFHDG_00995"
"group_1107","","hypothetical protein","2","2","1","2","344","","","","1325","1325","1325","OAPGLPBN_00230","ECPKFHDG_00330"
"tmcAL","","tRNA(Met) cytidine acetate ligase","2","2","1","2","2028","","","","1133","1133","1133","OAPGLPBN_01531","ECPKFHDG_01635"
"group_1109","","hypothetical protein","2","2","1","2","2069","","","","656","656","656","OAPGLPBN_01489","ECPKFHDG_01593"
"group_1110","","hypothetical protein","2","2","1","2","389","","","","1010","1010","1010","OAPGLPBN_00275","ECPKFHDG_00375"
"group_1111","","hypothetical protein","2","2","1","2","87","","","","236","236","236","OAPGLPBN_00003","ECPKFHDG_00003"
"group_1112","","hypothetical protein","2","2","1","2","1997","","","","278","278","278","OAPGLPBN_01562","ECPKFHDG_01666"
"acpS","","Holo-[acyl-carrier-protein] synthase","2","2","1","2","831","","","","353","353","353","OAPGLPBN_00727","ECPKFHDG_00824"
"ynfM","","Inner membrane transport protein YnfM","2","2","1","2","297","","","","1172","1172","1172","OAPGLPBN_00180","ECPKFHDG_00284"
"ung","","Uracil-DNA glycosylase","2","2","1","2","1584","","","","650","650","650","OAPGLPBN_01979","ECPKFHDG_02082"
"group_1116","","hypothetical protein","2","2","1","2","2216","","","","233","233","233","OAPGLPBN_01342","ECPKFHDG_01446"
"group_1117","","hypothetical protein","2","2","1","2","1052","","","","1238","1238","1238","OAPGLPBN_00981","ECPKFHDG_01085"
"rnhA","","14.7 kDa ribonuclease H-like protein","2","2","1","2","1316","","","","395","395","395","OAPGLPBN_01245","ECPKFHDG_01349"
"fabH","","3-oxoacyl-[acyl-carrier-protein] synthase 3","2","2","1","2","1889","","","","941","941","941","OAPGLPBN_01672","ECPKFHDG_01776"
"group_1120","","hypothetical protein","2","2","1","2","472","","","","917","917","917","OAPGLPBN_00358","ECPKFHDG_00457"
"metXA","","Homoserine O-acetyltransferase","2","2","1","2","96","","","","968","968","968","OAPGLPBN_00012","ECPKFHDG_00012"
"putB","","Proline dehydrogenase 2","2","2","1","2","1020","","","","1001","1001","1001","OAPGLPBN_00949","ECPKFHDG_01054"
"group_1123","","putative oxidoreductase","2","2","1","2","486","","","","692","692","692","OAPGLPBN_00372","ECPKFHDG_00471"
"group_1124","","hypothetical protein","2","2","1","2","1648","","","","833","833","833","OAPGLPBN_01915","ECPKFHDG_02018"
"yjbI","","Group 2 truncated hemoglobin YjbI","2","2","1","2","1903","","","","383","383","383","OAPGLPBN_01658","ECPKFHDG_01762"
"group_1126","","hypothetical protein","2","2","1","2","1692","","","","617","617","617","OAPGLPBN_01871","ECPKFHDG_01974"
"mprF","","Phosphatidylglycerol lysyltransferase","2","2","1","2","2234","","","","2522","2522","2522","OAPGLPBN_01324","ECPKFHDG_01428"
"pgi","","Glucose-6-phosphate isomerase","2","2","1","2","1875","","","","1331","1331","1331","OAPGLPBN_01686","ECPKFHDG_01790"
"group_1129","","hypothetical protein","2","2","1","2","585","","","","632","632","632","OAPGLPBN_00471","ECPKFHDG_00570"
"hisF","","Imidazole glycerol phosphate synthase subunit HisF","2","2","1","2","272","","","","758","758","758","OAPGLPBN_00155","ECPKFHDG_00259"
"pbuE","","Purine efflux pump PbuE","2","2","1","2","500","","","","1178","1178","1178","OAPGLPBN_00386","ECPKFHDG_00485"
"group_1132","","hypothetical protein","2","2","1","2","1801","","","","233","233","233","OAPGLPBN_01760","ECPKFHDG_01863"
"group_1133","","Alkaline shock protein 23","2","2","1","2","737","","","","500","500","500","OAPGLPBN_00624","ECPKFHDG_00722"
"ypdF","","Aminopeptidase YpdF","2","2","1","2","1235","","","","1061","1061","1061","OAPGLPBN_01164","ECPKFHDG_01268"
"prfA","","Peptide chain release factor 1","2","2","1","2","791","","","","1076","1076","1076","OAPGLPBN_00687","ECPKFHDG_00784"
"fpgS","","Folylpolyglutamate synthase","2","2","1","2","1115","","","","1265","1265","1265","OAPGLPBN_01044","ECPKFHDG_01148"
"mutS_2","","DNA mismatch repair protein MutS","2","2","1","2","2171","","","","2621","2621","2621","OAPGLPBN_01387","ECPKFHDG_01491"
"group_1138","","hypothetical protein","2","2","1","2","226","","","","224","224","224","OAPGLPBN_00109","ECPKFHDG_00215"
"garP","","putative galactarate transporter","2","2","1","2","467","","","","1274","1274","1274","OAPGLPBN_00353","ECPKFHDG_00452"
"rluD_3","","Ribosomal large subunit pseudouridine synthase D","2","2","1","2","1908","","","","854","854","854","OAPGLPBN_01653","ECPKFHDG_01757"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","2","2","1","2","2158","","","","581","581","581","OAPGLPBN_01400","ECPKFHDG_01504"
"dltD","","Protein DltD","2","2","1","2","1844","","","","1238","1238","1238","OAPGLPBN_01717","ECPKFHDG_01820"
"group_1143","","hypothetical protein","2","2","1","2","909","","","","179","179","179","OAPGLPBN_00800","ECPKFHDG_00906"
"group_1144","","hypothetical protein","2","2","1","2","884","","","","545","545","545","OAPGLPBN_00784","ECPKFHDG_00881"
"serS","","Serine--tRNA ligase","2","2","1","2","92","","","","1286","1286","1286","OAPGLPBN_00008","ECPKFHDG_00008"
"birA","","Bifunctional ligase/repressor BirA","2","2","1","2","1300","","","","971","971","971","OAPGLPBN_01229","ECPKFHDG_01333"
"nrdR","","Transcriptional repressor NrdR","2","2","1","2","1093","","","","470","470","470","OAPGLPBN_01022","ECPKFHDG_01126"
"group_1148","","hypothetical protein","2","2","1","2","1835","","","","389","389","389","OAPGLPBN_01726","ECPKFHDG_01829"
"group_1149","","Putative membrane protein insertion efficiency factor","2","2","1","2","996","","","","251","251","251","OAPGLPBN_00925","ECPKFHDG_01031"
"xerD_2","","Tyrosine recombinase XerD","2","2","1","2","1442","","","","584","584","584","OAPGLPBN_02142","ECPKFHDG_02244"
"yacP","","putative protein YacP","2","2","1","2","1532","","","","527","527","527","OAPGLPBN_02031","ECPKFHDG_02134"
"group_1152","","hypothetical protein","2","2","1","2","428","","","","848","848","848","OAPGLPBN_00314","ECPKFHDG_00414"
"rpsE","","30S ribosomal protein S5","2","2","1","2","705","","","","500","500","500","OAPGLPBN_00591","ECPKFHDG_00690"
"dapH_1","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","2","2","1","2","1361","","","","722","722","722","OAPGLPBN_01290","ECPKFHDG_01394"
"group_1155","","Putative dipeptidase","2","2","1","2","1034","","","","1409","1409","1409","OAPGLPBN_00963","ECPKFHDG_01067"
"group_1156","","hypothetical protein","2","2","1","2","619","","","","185","185","185","OAPGLPBN_00505","ECPKFHDG_00604"
"group_1157","","hypothetical protein","2","2","1","2","191","","","","881","881","881","OAPGLPBN_00074","ECPKFHDG_00180"
"hepT","","Heptaprenyl diphosphate synthase component 2","2","2","1","2","1288","","","","959","959","959","OAPGLPBN_01217","ECPKFHDG_01321"
"hmuU","","Hemin transport system permease protein HmuU","2","2","1","2","1616","","","","944","944","944","OAPGLPBN_01947","ECPKFHDG_02050"
"purS","","Phosphoribosylformylglycinamidine synthase subunit PurS","2","2","1","2","1967","","","","260","260","260","OAPGLPBN_01592","ECPKFHDG_01696"
"mrpD","","Na(+)/H(+) antiporter subunit D","2","2","1","2","1630","","","","1499","1499","1499","OAPGLPBN_01933","ECPKFHDG_02036"
"infB","","Translation initiation factor IF-2","2","2","1","2","2144","","","","2162","2162","2162","OAPGLPBN_01414","ECPKFHDG_01518"
"dinB","","DNA polymerase IV","2","2","1","2","923","","","","1070","1070","1070","OAPGLPBN_00814","ECPKFHDG_00920"
"group_1164","","hypothetical protein","2","2","1","2","223","","","","1556","1556","1556","OAPGLPBN_00106","ECPKFHDG_00212"
"walK","","Sensor protein kinase WalK","2","2","1","2","103","","","","1832","1832","1832","OAPGLPBN_00021","ECPKFHDG_00021"
"potD","","Spermidine/putrescine-binding periplasmic protein","2","2","1","2","2002","","","","1073","1073","1073","OAPGLPBN_01557","ECPKFHDG_01661"
"metI","","Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase","2","2","1","2","1413","","","","1103","1103","1103","OAPGLPBN_02171","ECPKFHDG_02273"
"acoB","","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta","2","2","1","2","251","","","","1040","1040","1040","OAPGLPBN_00134","ECPKFHDG_00238"
"rpiA","","Ribose-5-phosphate isomerase A","2","2","1","2","601","","","","692","692","692","OAPGLPBN_00487","ECPKFHDG_00586"
"group_1170","","hypothetical protein","2","2","1","2","1676","","","","296","296","296","OAPGLPBN_01887","ECPKFHDG_01990"
"group_1171","","Epimerase family protein","2","2","1","2","1772","","","","899","899","899","OAPGLPBN_01790","ECPKFHDG_01893"
"ypjD","","putative protein YpjD","2","2","1","2","1297","","","","317","317","317","OAPGLPBN_01226","ECPKFHDG_01330"
"plsX","","Phosphate acyltransferase","2","2","1","2","2105","","","","977","977","977","OAPGLPBN_01453","ECPKFHDG_01557"
"qoxC","","Quinol oxidase subunit 3","2","2","1","2","1959","","","","605","605","605","OAPGLPBN_01600","ECPKFHDG_01704"
"pap","","Polyphosphate:AMP phosphotransferase","2","2","1","2","398","","","","1424","1424","1424","OAPGLPBN_00284","ECPKFHDG_00384"
"rpsQ","","30S ribosomal protein S17","2","2","1","2","697","","","","263","263","263","OAPGLPBN_00583","ECPKFHDG_00682"
"ccpA","","Catabolite control protein A","2","2","1","2","1048","","","","989","989","989","OAPGLPBN_00977","ECPKFHDG_01081"
"ogt","","Methylated-DNA--protein-cysteine methyltransferase","2","2","1","2","414","","","","518","518","518","OAPGLPBN_00300","ECPKFHDG_00400"
"group_1179","","hypothetical protein","2","2","1","2","1832","","","","827","827","827","OAPGLPBN_01729","ECPKFHDG_01832"
"ilvD","","Dihydroxy-acid dehydratase","2","2","1","2","850","","","","1688","1688","1688","OAPGLPBN_00751","ECPKFHDG_00848"
"recU","","Holliday junction resolvase RecU","2","2","1","2","1307","","","","629","629","629","OAPGLPBN_01236","ECPKFHDG_01340"
"group_1182","","hypothetical protein","2","2","1","2","2047","","","","509","509","509","OAPGLPBN_01512","ECPKFHDG_01616"
"group_1183","","putative protein","2","2","1","2","1243","","","","362","362","362","OAPGLPBN_01172","ECPKFHDG_01276"
"gcvPA","","putative glycine dehydrogenase (decarboxylating) subunit 1","2","2","1","2","1229","","","","1346","1346","1346","OAPGLPBN_01158","ECPKFHDG_01262"
"group_1185","","hypothetical protein","2","2","1","2","1822","","","","191","191","191","OAPGLPBN_01739","ECPKFHDG_01842"
"pstS","","Phosphate-binding protein PstS","2","2","1","2","1368","","","","977","977","977","OAPGLPBN_01297","ECPKFHDG_01401"
"group_1187","","hypothetical protein","2","2","1","2","1473","","","","995","995","995","OAPGLPBN_02109","ECPKFHDG_02212"
"ywtE_1","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YwtE","2","2","1","2","759","","","","857","857","857","OAPGLPBN_00655","ECPKFHDG_00753"
"group_1189","","Polyphenol oxidase","2","2","1","2","2064","","","","791","791","791","OAPGLPBN_01494","ECPKFHDG_01598"
"opcR","","HTH-type transcriptional repressor OpcR","2","2","1","2","362","","","","581","581","581","OAPGLPBN_00248","ECPKFHDG_00348"
"group_1191","","hypothetical protein","2","2","1","2","973","","","","1130","1130","1130","OAPGLPBN_00894","ECPKFHDG_01000"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","2","2","1","2","1130","","","","1025","1025","1025","OAPGLPBN_01059","ECPKFHDG_01163"
"group_1193","","IS1595 family transposase ISSsu9","2","2","1","2","1323","","","","485","485","485","OAPGLPBN_01252","ECPKFHDG_01356"
"ftsL_2","","Cell division protein FtsL","2","2","1","2","1505","","","","401","401","401","OAPGLPBN_02074","ECPKFHDG_02177"
"putP","","Sodium/proline symporter","2","2","1","2","916","","","","1535","1535","1535","OAPGLPBN_00807","ECPKFHDG_00913"
"ftsK","","DNA translocase FtsK","2","2","1","2","2151","","","","2393","2393","2393","OAPGLPBN_01407","ECPKFHDG_01511"
"tarA","","N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase","2","2","1","2","1640","","","","758","758","758","OAPGLPBN_01923","ECPKFHDG_02026"
"group_1198","","Lactonase drp35","2","2","1","2","259","","","","977","977","977","OAPGLPBN_00142","ECPKFHDG_00246"
"miaA","","tRNA dimethylallyltransferase","2","2","1","2","2178","","","","998","998","998","OAPGLPBN_01380","ECPKFHDG_01484"
"agrA","","Accessory gene regulator protein A","2","2","1","2","865","","","","716","716","716","OAPGLPBN_00766","ECPKFHDG_00863"
"group_1201","","hypothetical protein","2","2","1","2","1598","","","","422","422","422","OAPGLPBN_01965","ECPKFHDG_02068"
"group_1202","","Ferredoxin","2","2","1","2","1275","","","","248","248","248","OAPGLPBN_01204","ECPKFHDG_01308"
"mraZ","","Transcriptional regulator MraZ","2","2","1","2","2055","","","","431","431","431","OAPGLPBN_01503","ECPKFHDG_01607"
