"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","200","201","202","317","318","319","322","323","324","327","328","329","332","333","334"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","15","15","1","1","1228","","","","722","722","722","HCCBNODH_01247","GKHFBONB_01202","HMFBFOGB_00740","OCKNCMEG_02231","OIJDMNBO_01344","PPDKNGKA_01326","EPFCPEFD_00522","BJCJJAEL_00844","NFIBCCNE_01418","POKGPMKP_01324","AMPJGNCI_02436","HAOGAOPA_01791","IMDFGEMN_01184","KHHHHCOB_01621","KMFFNEKJ_02233"
"pstB3","","Phosphate import ATP-binding protein PstB 3","15","15","1","1","1217","","","","851","851","851","HCCBNODH_01256","GKHFBONB_01211","HMFBFOGB_00731","OCKNCMEG_02220","OIJDMNBO_01333","PPDKNGKA_01315","EPFCPEFD_00513","BJCJJAEL_00835","NFIBCCNE_01409","POKGPMKP_01315","AMPJGNCI_02445","HAOGAOPA_01800","IMDFGEMN_01193","KHHHHCOB_01612","KMFFNEKJ_02224"
"phoU","","Phosphate-specific transport system accessory protein PhoU","15","15","1","1","1216","","","","641","641","641","HCCBNODH_01257","GKHFBONB_01212","HMFBFOGB_00730","OCKNCMEG_02219","OIJDMNBO_01332","PPDKNGKA_01314","EPFCPEFD_00512","BJCJJAEL_00834","NFIBCCNE_01408","POKGPMKP_01314","AMPJGNCI_02446","HAOGAOPA_01801","IMDFGEMN_01194","KHHHHCOB_01611","KMFFNEKJ_02223"
"mprF","","Phosphatidylglycerol lysyltransferase","15","15","1","1","1187","","","","2522","2522","2522","HCCBNODH_01283","GKHFBONB_01238","HMFBFOGB_00704","OCKNCMEG_02193","OIJDMNBO_01306","PPDKNGKA_01288","EPFCPEFD_00486","BJCJJAEL_00810","NFIBCCNE_01384","POKGPMKP_01288","AMPJGNCI_02472","HAOGAOPA_01825","IMDFGEMN_01218","KHHHHCOB_01587","KMFFNEKJ_02199"
"group_1017","","Putative transport protein","15","15","1","1","1186","","","","1148","1208","1156","HCCBNODH_01284","GKHFBONB_01239","HMFBFOGB_00703","OCKNCMEG_02192","OIJDMNBO_01305","PPDKNGKA_01287","EPFCPEFD_00485","BJCJJAEL_00809","NFIBCCNE_01383","POKGPMKP_01287","AMPJGNCI_02473","HAOGAOPA_01826","IMDFGEMN_01219","KHHHHCOB_01586","KMFFNEKJ_02198"
"mscL","","Large-conductance mechanosensitive channel","15","15","1","1","1176","","","","362","362","362","HCCBNODH_01294","GKHFBONB_01249","HMFBFOGB_00693","OCKNCMEG_02182","OIJDMNBO_01295","PPDKNGKA_01277","EPFCPEFD_00475","BJCJJAEL_00799","NFIBCCNE_01373","POKGPMKP_01277","AMPJGNCI_02483","HAOGAOPA_01836","IMDFGEMN_01229","KHHHHCOB_01576","KMFFNEKJ_02188"
"sbcD","","Nuclease SbcCD subunit D","15","15","1","1","1174","","","","1121","1121","1121","HCCBNODH_01296","GKHFBONB_01251","HMFBFOGB_00691","OCKNCMEG_02180","OIJDMNBO_01293","PPDKNGKA_01275","EPFCPEFD_00473","BJCJJAEL_00797","NFIBCCNE_01371","POKGPMKP_01275","AMPJGNCI_02485","HAOGAOPA_01838","IMDFGEMN_01231","KHHHHCOB_01574","KMFFNEKJ_02186"
"group_1020","","hypothetical protein","15","15","1","1","1173","","","","287","467","455","HCCBNODH_01297","GKHFBONB_01252","HMFBFOGB_00690","OCKNCMEG_02179","OIJDMNBO_01292","PPDKNGKA_01274","EPFCPEFD_00472","BJCJJAEL_00796","NFIBCCNE_01370","POKGPMKP_01274","AMPJGNCI_02486","HAOGAOPA_01839","IMDFGEMN_01232","KHHHHCOB_01573","KMFFNEKJ_02185"
"group_1021","","hypothetical protein","15","15","1","1","1172","","","","242","287","278","HCCBNODH_01298","GKHFBONB_01253","HMFBFOGB_00689","OCKNCMEG_02178","OIJDMNBO_01291","PPDKNGKA_01273","EPFCPEFD_00471","BJCJJAEL_00795","NFIBCCNE_01369","POKGPMKP_01273","AMPJGNCI_02487","HAOGAOPA_01840","IMDFGEMN_01233","KHHHHCOB_01572","KMFFNEKJ_02184"
"rpmG2_1","","50S ribosomal protein L33 2","15","15","1","1","1164","","","","149","149","149","HCCBNODH_01307","GKHFBONB_01262","HMFBFOGB_00680","OCKNCMEG_02170","OIJDMNBO_01283","PPDKNGKA_01265","EPFCPEFD_00463","BJCJJAEL_00787","NFIBCCNE_01361","POKGPMKP_01265","AMPJGNCI_02495","HAOGAOPA_01848","IMDFGEMN_01241","KHHHHCOB_01564","KMFFNEKJ_02176"
"group_1023","","Putative phosphatase","15","15","1","1","1160","","","","803","803","803","HCCBNODH_01311","GKHFBONB_01266","HMFBFOGB_00676","OCKNCMEG_02166","OIJDMNBO_01279","PPDKNGKA_01261","EPFCPEFD_00459","BJCJJAEL_00783","NFIBCCNE_01357","POKGPMKP_01261","AMPJGNCI_02499","HAOGAOPA_01852","IMDFGEMN_01245","KHHHHCOB_01560","KMFFNEKJ_02172"
"group_1024","","hypothetical protein","15","15","1","1","1152","","","","188","188","188","HCCBNODH_01319","GKHFBONB_01274","HMFBFOGB_00668","OCKNCMEG_02158","OIJDMNBO_01271","PPDKNGKA_01253","EPFCPEFD_00451","BJCJJAEL_00775","NFIBCCNE_01349","POKGPMKP_01253","AMPJGNCI_02507","HAOGAOPA_01860","IMDFGEMN_01253","KHHHHCOB_01552","KMFFNEKJ_02164"
"cls_1","","Cardiolipin synthase","15","15","1","1","1146","","","","1481","1481","1481","HCCBNODH_01320","GKHFBONB_01275","HMFBFOGB_00667","OCKNCMEG_02153","OIJDMNBO_01266","PPDKNGKA_01248","EPFCPEFD_00445","BJCJJAEL_00769","NFIBCCNE_01343","POKGPMKP_01247","AMPJGNCI_02513","HAOGAOPA_01866","IMDFGEMN_01258","KHHHHCOB_01547","KMFFNEKJ_02159"
"miaA","","tRNA dimethylallyltransferase","15","15","1","1","3025","","","","935","935","935","HCCBNODH_01338","GKHFBONB_01293","HMFBFOGB_00649","OCKNCMEG_02109","OIJDMNBO_01220","PPDKNGKA_01202","EPFCPEFD_00408","BJCJJAEL_00752","NFIBCCNE_01326","POKGPMKP_01210","AMPJGNCI_02550","HAOGAOPA_01883","IMDFGEMN_01282","KHHHHCOB_01523","KMFFNEKJ_02135"
"group_1029","","hypothetical protein","15","15","1","1","3036","","","","293","293","293","HCCBNODH_01349","GKHFBONB_01304","HMFBFOGB_00638","OCKNCMEG_02098","OIJDMNBO_01209","PPDKNGKA_01191","EPFCPEFD_00397","BJCJJAEL_00741","NFIBCCNE_01315","POKGPMKP_01199","AMPJGNCI_02561","HAOGAOPA_01894","IMDFGEMN_01293","KHHHHCOB_01512","KMFFNEKJ_02124"
"group_1030","xerC_1","Tyrosine recombinase XerC","15","15","1","1","3076","","","","896","896","896","HCCBNODH_01389","GKHFBONB_01344","HMFBFOGB_00598","OCKNCMEG_02059","OIJDMNBO_01170","PPDKNGKA_01152","EPFCPEFD_00358","BJCJJAEL_00702","NFIBCCNE_01276","POKGPMKP_01160","AMPJGNCI_02600","HAOGAOPA_01933","IMDFGEMN_01332","KHHHHCOB_01473","KMFFNEKJ_02085"
"fapR","","Transcription factor FapR","15","15","1","1","3100","","","","557","572","559","HCCBNODH_01415","GKHFBONB_01370","HMFBFOGB_00572","OCKNCMEG_02035","OIJDMNBO_01146","PPDKNGKA_01128","EPFCPEFD_00334","BJCJJAEL_00678","NFIBCCNE_01252","POKGPMKP_01136","AMPJGNCI_02625","HAOGAOPA_01957","IMDFGEMN_01356","KHHHHCOB_01449","KMFFNEKJ_02061"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","15","15","1","1","3107","","","","875","875","875","HCCBNODH_01422","GKHFBONB_01377","HMFBFOGB_00565","OCKNCMEG_02028","OIJDMNBO_01139","PPDKNGKA_01121","EPFCPEFD_00327","BJCJJAEL_00671","NFIBCCNE_01245","POKGPMKP_01129","AMPJGNCI_02632","HAOGAOPA_01964","IMDFGEMN_01363","KHHHHCOB_01442","KMFFNEKJ_02054"
"group_1033","","hypothetical protein","15","15","1","1","3122","","","","401","425","405","HCCBNODH_01436","GKHFBONB_01391","HMFBFOGB_00551","OCKNCMEG_02014","OIJDMNBO_01125","PPDKNGKA_01107","EPFCPEFD_00313","BJCJJAEL_00657","NFIBCCNE_01231","POKGPMKP_01115","AMPJGNCI_02646","HAOGAOPA_01978","IMDFGEMN_01377","KHHHHCOB_01428","KMFFNEKJ_02040"
"pyrB","","Aspartate carbamoyltransferase","15","15","1","1","3129","","","","476","881","854","HCCBNODH_01443","GKHFBONB_01398","HMFBFOGB_00544","OCKNCMEG_02007","OIJDMNBO_01118","PPDKNGKA_01100","EPFCPEFD_00306","BJCJJAEL_00650","NFIBCCNE_01224","POKGPMKP_01108","AMPJGNCI_02653","HAOGAOPA_01985","IMDFGEMN_01384","KHHHHCOB_01421","KMFFNEKJ_02033"
"divIVA","","hypothetical protein","15","15","1","1","3137","","","","596","617","612","HCCBNODH_01450","GKHFBONB_01405","HMFBFOGB_00537","OCKNCMEG_01999","OIJDMNBO_01110","PPDKNGKA_01092","EPFCPEFD_00299","BJCJJAEL_00643","NFIBCCNE_01217","POKGPMKP_01101","AMPJGNCI_00007","HAOGAOPA_01992","IMDFGEMN_01392","KHHHHCOB_01413","KMFFNEKJ_02025"
"group_1036","","hypothetical protein","15","15","1","1","3139","","","","290","290","290","HCCBNODH_01452","GKHFBONB_01407","HMFBFOGB_00535","OCKNCMEG_01997","OIJDMNBO_01108","PPDKNGKA_01090","EPFCPEFD_00297","BJCJJAEL_00641","NFIBCCNE_01215","POKGPMKP_01099","AMPJGNCI_00009","HAOGAOPA_01994","IMDFGEMN_01394","KHHHHCOB_01411","KMFFNEKJ_02023"
"group_1037","","Polyphenol oxidase","15","15","1","1","3142","","","","791","791","791","HCCBNODH_01455","GKHFBONB_01410","HMFBFOGB_00532","OCKNCMEG_01994","OIJDMNBO_01105","PPDKNGKA_01087","EPFCPEFD_00294","BJCJJAEL_00638","NFIBCCNE_01212","POKGPMKP_01096","AMPJGNCI_00012","HAOGAOPA_01997","IMDFGEMN_01397","KHHHHCOB_01408","KMFFNEKJ_02020"
"bshC","","Putative cysteine ligase BshC","15","15","1","1","3152","","","","1613","1613","1613","HCCBNODH_01465","GKHFBONB_01420","HMFBFOGB_00522","OCKNCMEG_01984","OIJDMNBO_01095","PPDKNGKA_01077","EPFCPEFD_00284","BJCJJAEL_00628","NFIBCCNE_01202","POKGPMKP_01086","AMPJGNCI_00022","HAOGAOPA_02007","IMDFGEMN_01407","KHHHHCOB_01398","KMFFNEKJ_02010"
"group_1039","","hypothetical protein","15","15","1","1","3158","","","","947","947","947","HCCBNODH_01472","GKHFBONB_01427","HMFBFOGB_00515","OCKNCMEG_01978","OIJDMNBO_01089","PPDKNGKA_01071","EPFCPEFD_00277","BJCJJAEL_00621","NFIBCCNE_01195","POKGPMKP_01079","AMPJGNCI_00029","HAOGAOPA_02014","IMDFGEMN_01414","KHHHHCOB_01391","KMFFNEKJ_02003"
"group_1040","","hypothetical protein","15","15","1","1","3159","","","","227","227","227","HCCBNODH_01473","GKHFBONB_01428","HMFBFOGB_00514","OCKNCMEG_01977","OIJDMNBO_01088","PPDKNGKA_01070","EPFCPEFD_00276","BJCJJAEL_00620","NFIBCCNE_01194","POKGPMKP_01078","AMPJGNCI_00030","HAOGAOPA_02015","IMDFGEMN_01415","KHHHHCOB_01390","KMFFNEKJ_02002"
"group_1045","","dITP/XTP pyrophosphatase","15","15","1","1","3191","","","","587","587","587","HCCBNODH_01491","GKHFBONB_01446","HMFBFOGB_00496","OCKNCMEG_01958","OIJDMNBO_01069","PPDKNGKA_01051","EPFCPEFD_00257","BJCJJAEL_00602","NFIBCCNE_01176","POKGPMKP_01059","AMPJGNCI_00049","HAOGAOPA_02033","IMDFGEMN_01432","KHHHHCOB_01372","KMFFNEKJ_01984"
"polX","","DNA polymerase/3'-5' exonuclease PolX","15","15","1","1","3199","","","","1712","1712","1712","HCCBNODH_01499","GKHFBONB_01454","HMFBFOGB_00488","OCKNCMEG_01950","OIJDMNBO_01061","PPDKNGKA_01043","EPFCPEFD_00249","BJCJJAEL_00594","NFIBCCNE_01168","POKGPMKP_01051","AMPJGNCI_00057","HAOGAOPA_02041","IMDFGEMN_01440","KHHHHCOB_01364","KMFFNEKJ_01976"
"isdG_1","","Heme oxygenase (staphylobilin-producing) 1","15","15","1","1","3206","","","","323","323","323","HCCBNODH_01506","GKHFBONB_01461","HMFBFOGB_00481","OCKNCMEG_01943","OIJDMNBO_01054","PPDKNGKA_01036","EPFCPEFD_00242","BJCJJAEL_00587","NFIBCCNE_01161","POKGPMKP_01044","AMPJGNCI_00064","HAOGAOPA_02048","IMDFGEMN_01447","KHHHHCOB_01357","KMFFNEKJ_01969"
"tmcAL","","tRNA(Met) cytidine acetate ligase","15","15","1","1","3217","","","","1139","1139","1139","HCCBNODH_01517","GKHFBONB_01471","HMFBFOGB_00471","OCKNCMEG_01933","OIJDMNBO_01044","PPDKNGKA_01026","EPFCPEFD_00232","BJCJJAEL_00577","NFIBCCNE_01151","POKGPMKP_01034","AMPJGNCI_00074","HAOGAOPA_02058","IMDFGEMN_01457","KHHHHCOB_01347","KMFFNEKJ_01959"
"group_1049","","hypothetical protein","15","15","1","1","3220","","","","389","389","389","HCCBNODH_01520","GKHFBONB_01474","HMFBFOGB_00468","OCKNCMEG_01930","OIJDMNBO_01041","PPDKNGKA_01023","EPFCPEFD_00229","BJCJJAEL_00574","NFIBCCNE_01148","POKGPMKP_01031","AMPJGNCI_00077","HAOGAOPA_02061","IMDFGEMN_01460","KHHHHCOB_01344","KMFFNEKJ_01956"
"ctaA","","Heme A synthase","15","15","1","1","3227","","","","920","1070","1010","HCCBNODH_01527","GKHFBONB_01481","HMFBFOGB_00461","OCKNCMEG_01923","OIJDMNBO_01034","PPDKNGKA_01016","EPFCPEFD_00222","BJCJJAEL_00567","NFIBCCNE_01141","POKGPMKP_01024","AMPJGNCI_00084","HAOGAOPA_02068","IMDFGEMN_01467","KHHHHCOB_01337","KMFFNEKJ_01949"
"group_1051","","hypothetical protein","15","15","1","1","3238","","","","1019","1019","1019","HCCBNODH_01538","GKHFBONB_01492","HMFBFOGB_00450","OCKNCMEG_01912","OIJDMNBO_01023","PPDKNGKA_01005","EPFCPEFD_00211","BJCJJAEL_00556","NFIBCCNE_01130","POKGPMKP_01013","AMPJGNCI_00095","HAOGAOPA_02079","IMDFGEMN_01478","KHHHHCOB_01326","KMFFNEKJ_01938"
"potD","","Spermidine/putrescine-binding periplasmic protein","15","15","1","1","3239","","","","1073","1073","1073","HCCBNODH_01539","GKHFBONB_01493","HMFBFOGB_00449","OCKNCMEG_01911","OIJDMNBO_01022","PPDKNGKA_01004","EPFCPEFD_00210","BJCJJAEL_00555","NFIBCCNE_01129","POKGPMKP_01012","AMPJGNCI_00096","HAOGAOPA_02080","IMDFGEMN_01479","KHHHHCOB_01325","KMFFNEKJ_01937"
"ecfT_1","","Energy-coupling factor transporter transmembrane protein EcfT","15","15","1","1","3265","","","","806","839","812","HCCBNODH_01565","GKHFBONB_01519","HMFBFOGB_00423","OCKNCMEG_01885","OIJDMNBO_00996","PPDKNGKA_00978","EPFCPEFD_00184","BJCJJAEL_00529","NFIBCCNE_01103","POKGPMKP_00986","AMPJGNCI_00122","HAOGAOPA_02106","IMDFGEMN_01504","KHHHHCOB_01300","KMFFNEKJ_01912"
"purD","","Phosphoribosylamine--glycine ligase","15","15","1","1","3266","","","","1247","1247","1247","HCCBNODH_01566","GKHFBONB_01520","HMFBFOGB_00422","OCKNCMEG_01884","OIJDMNBO_00995","PPDKNGKA_00977","EPFCPEFD_00183","BJCJJAEL_00528","NFIBCCNE_01102","POKGPMKP_00985","AMPJGNCI_00123","HAOGAOPA_02107","IMDFGEMN_01505","KHHHHCOB_01299","KMFFNEKJ_01911"
"purN","","Phosphoribosylglycinamide formyltransferase","15","15","1","1","3268","","","","566","566","566","HCCBNODH_01568","GKHFBONB_01522","HMFBFOGB_00420","OCKNCMEG_01882","OIJDMNBO_00993","PPDKNGKA_00975","EPFCPEFD_00181","BJCJJAEL_00526","NFIBCCNE_01100","POKGPMKP_00983","AMPJGNCI_00125","HAOGAOPA_02109","IMDFGEMN_01507","KHHHHCOB_01297","KMFFNEKJ_01909"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","15","15","1","1","3269","","","","1028","1028","1028","HCCBNODH_01569","GKHFBONB_01523","HMFBFOGB_00419","OCKNCMEG_01881","OIJDMNBO_00992","PPDKNGKA_00974","EPFCPEFD_00180","BJCJJAEL_00525","NFIBCCNE_01099","POKGPMKP_00982","AMPJGNCI_00126","HAOGAOPA_02110","IMDFGEMN_01508","KHHHHCOB_01296","KMFFNEKJ_01908"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","15","15","1","1","3274","","","","704","704","704","HCCBNODH_01574","GKHFBONB_01528","HMFBFOGB_00414","OCKNCMEG_01876","OIJDMNBO_00987","PPDKNGKA_00969","EPFCPEFD_00175","BJCJJAEL_00520","NFIBCCNE_01094","POKGPMKP_00977","AMPJGNCI_00131","HAOGAOPA_02115","IMDFGEMN_01513","KHHHHCOB_01291","KMFFNEKJ_01903"
"purE","","N5-carboxyaminoimidazole ribonucleotide mutase","15","15","1","1","3276","","","","482","482","482","HCCBNODH_01576","GKHFBONB_01530","HMFBFOGB_00412","OCKNCMEG_01874","OIJDMNBO_00985","PPDKNGKA_00967","EPFCPEFD_00173","BJCJJAEL_00518","NFIBCCNE_01092","POKGPMKP_00975","AMPJGNCI_00133","HAOGAOPA_02117","IMDFGEMN_01515","KHHHHCOB_01289","KMFFNEKJ_01901"
"sspB","","Staphopain B","15","15","1","1","3294","","","","1181","1181","1181","HCCBNODH_01594","GKHFBONB_01548","HMFBFOGB_00395","OCKNCMEG_01857","OIJDMNBO_00968","PPDKNGKA_00950","EPFCPEFD_00157","BJCJJAEL_00502","NFIBCCNE_01076","POKGPMKP_00959","AMPJGNCI_00150","HAOGAOPA_02133","IMDFGEMN_01531","KHHHHCOB_01273","KMFFNEKJ_01885"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","15","15","1","1","3298","","","","1673","1673","1673","HCCBNODH_01598","GKHFBONB_01552","HMFBFOGB_00391","OCKNCMEG_01853","OIJDMNBO_00964","PPDKNGKA_00946","EPFCPEFD_00153","BJCJJAEL_00498","NFIBCCNE_01072","POKGPMKP_00955","AMPJGNCI_00154","HAOGAOPA_02137","IMDFGEMN_01535","KHHHHCOB_01269","KMFFNEKJ_01881"
"yfmC_1","","Fe(3+)-citrate-binding protein YfmC","15","15","1","1","3304","","","","959","959","959","HCCBNODH_01604","GKHFBONB_01558","HMFBFOGB_00385","OCKNCMEG_01847","OIJDMNBO_00958","PPDKNGKA_00940","EPFCPEFD_00147","BJCJJAEL_00492","NFIBCCNE_01066","POKGPMKP_00949","AMPJGNCI_00160","HAOGAOPA_02143","IMDFGEMN_01541","KHHHHCOB_01263","KMFFNEKJ_01875"
"group_1062","","hypothetical protein","15","15","1","1","3308","","","","320","320","320","HCCBNODH_01608","GKHFBONB_01562","HMFBFOGB_00381","OCKNCMEG_01841","OIJDMNBO_00952","PPDKNGKA_00934","EPFCPEFD_00143","BJCJJAEL_00488","NFIBCCNE_01062","POKGPMKP_00945","AMPJGNCI_00164","HAOGAOPA_02147","IMDFGEMN_01547","KHHHHCOB_01257","KMFFNEKJ_01869"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase","15","15","1","1","3321","","","","1481","1484","1483","HCCBNODH_01624","GKHFBONB_01578","HMFBFOGB_00365","OCKNCMEG_01826","OIJDMNBO_00937","PPDKNGKA_00919","EPFCPEFD_00128","BJCJJAEL_00471","NFIBCCNE_01045","POKGPMKP_00930","AMPJGNCI_00179","HAOGAOPA_02164","IMDFGEMN_01562","KHHHHCOB_01242","KMFFNEKJ_01854"
"ltaA","","putative glycolipid permease LtaA","15","15","1","1","3323","","","","1190","1190","1190","HCCBNODH_01626","GKHFBONB_01580","HMFBFOGB_00363","OCKNCMEG_01824","OIJDMNBO_00935","PPDKNGKA_00917","EPFCPEFD_00126","BJCJJAEL_00469","NFIBCCNE_01043","POKGPMKP_00928","AMPJGNCI_00181","HAOGAOPA_02166","IMDFGEMN_01564","KHHHHCOB_01240","KMFFNEKJ_01852"
"yjbK","","Putative triphosphatase YjbK","15","15","1","1","3338","","","","593","593","593","HCCBNODH_01638","GKHFBONB_01593","HMFBFOGB_00351","OCKNCMEG_01810","OIJDMNBO_00921","PPDKNGKA_00903","EPFCPEFD_00114","BJCJJAEL_00455","NFIBCCNE_01029","POKGPMKP_00916","AMPJGNCI_00193","HAOGAOPA_02180","IMDFGEMN_01576","KHHHHCOB_01228","KMFFNEKJ_01840"
"group_1067","","hypothetical protein","15","15","1","1","3362","","","","371","371","371","HCCBNODH_01657","GKHFBONB_01612","HMFBFOGB_00332","OCKNCMEG_01787","OIJDMNBO_00898","PPDKNGKA_00880","EPFCPEFD_00096","BJCJJAEL_00437","NFIBCCNE_01011","POKGPMKP_00898","AMPJGNCI_00211","HAOGAOPA_02198","IMDFGEMN_01595","KHHHHCOB_01209","KMFFNEKJ_01821"
"group_1068","","hypothetical protein","15","15","1","1","3365","","","","185","185","185","HCCBNODH_01660","GKHFBONB_01615","HMFBFOGB_00329","OCKNCMEG_01784","OIJDMNBO_00895","PPDKNGKA_00877","EPFCPEFD_00093","BJCJJAEL_00434","NFIBCCNE_01008","POKGPMKP_00895","AMPJGNCI_00214","HAOGAOPA_02201","IMDFGEMN_01598","KHHHHCOB_01206","KMFFNEKJ_01818"
"group_1069","","hypothetical protein","15","15","1","1","3367","","","","515","515","515","HCCBNODH_01662","GKHFBONB_01617","HMFBFOGB_00327","OCKNCMEG_01782","OIJDMNBO_00893","PPDKNGKA_00875","EPFCPEFD_00091","BJCJJAEL_00432","NFIBCCNE_01006","POKGPMKP_00893","AMPJGNCI_00216","HAOGAOPA_02203","IMDFGEMN_01600","KHHHHCOB_01204","KMFFNEKJ_01816"
"ampR","","HTH-type transcriptional activator AmpR","15","15","1","1","3368","","","","869","869","869","HCCBNODH_01663","GKHFBONB_01618","HMFBFOGB_00326","OCKNCMEG_01778","OIJDMNBO_00889","PPDKNGKA_00871","EPFCPEFD_00090","BJCJJAEL_00428","NFIBCCNE_01002","POKGPMKP_00892","AMPJGNCI_00217","HAOGAOPA_02207","IMDFGEMN_01604","KHHHHCOB_01200","KMFFNEKJ_01812"
